university,enrollment,first.gen,year,num.courses,faculty,race,other.race,alcohol,social.network,sleep,enough.sleep,exercise,diet,GPA.range,gender,age,disability,PSS_1,PSS_2,PSS_3,PSS_4,PSS_5,PSS_6,PSS_7,PSS_8,PSS_9,PSS_10,RSES_1,RSES_2,RSES_3,RSES_4,RSES_5,RSES_6,RSES_7,RSES_8,RSES_9,RSES_10,GSE_1,GSE_2,GSE_3,GSE_4,GSE_5,GSE_6,GSE_7,GSE_8,GSE_9,GSE_10,LOTR_1,LOTR_3,LOTR_4,LOTR_7,LOTR_9,LOTR_10,SWLS_1,SWLS_2,SWLS_3,SWLS_4,SWLS_5,GSQA_1,GSQA_2,GSQA_3,GSQA_4,GSQA_5,GSQA_6,GSQA_7,GSQB_1,GSQB_2,GSQB_3,GSQB_4,GSQB_5,GSQB_6,GSQB_7,GSQC_1,GSQC_2,GSQC_3,GSQC_4,GSQC_5,GSQC_6,GSQC_7,PSS.total,RSES.total,GSE.total,LOTR.total,SWLS.total,GHQ.total,PSS.help,PSS.eff,GHQa.total,QHQb.total,GHQc.total,replicate,living,covid.test,phys.class,online.class
1,1,2,1,6,2,1,,2,3,2,2,2,2,,female,19,2,2,2,3,1,2,2,2,2,3,3,3,3,1,3,1,2,2,1,1,1,3,2,3,3,3,4,3,3,3,3,1,1,1,0,2,1,5,3,4,5,6,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,22,18,30,6,17,13,7,15,2,5,6,a,,,,
1,1,2,1,6,2,6,,1,4,3,2,1,3,,female,19,2,3,3,3,3,2,1,3,3,3,3,3,3,2,2,2,3,3,2,2,2,3,2,2,3,3,3,3,2,3,3,2,1,2,3,3,2,5,4,5,3,4,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,27,24,27,13,19,18,11,16,6,6,6,a,,,,
1,1,1,1,6,4,1,,1,2,2,2,1,3,,male,19,2,3,3,4,2,3,2,3,2,3,2,3,3,1,3,1,3,2,1,1,1,3,2,3,2,3,3,2,3,3,3,2,1,2,3,1,3,6,5,6,7,6,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,27,19,27,12,10,13,10,17,1,5,7,a,,,,
1,1,2,1,8,6,8,Afghan ,1,3,2,2,1,1,,female,19,2,3,3,4,3,2,4,2,3,4,4,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,3,0,1,3,5,4,3,5,6,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,32,22,22,9,17,18,10,22,6,6,6,a,,,,
1,1,2,1,6,3,6,,1,3,2,2,1,1,,female,19,2,4,2,4,3,1,4,3,1,4,2,3,3,1,2,1,2,2,1,0,0,2,2,2,3,3,4,1,3,3,1,2,0,3,0,0,1,5,4,5,4,5,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,28,15,24,6,17,15,8,20,4,7,4,a,,,,
1,1,2,1,6,1,9,,1,4,3,1,1,2,,female,18,2,0,0,2,1,2,1,1,1,1,1,4,3,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,2,2,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10,30,30,13,28,6,5,5,1,0,5,a,,,,
1,1,2,1,6,6,5,,1,3,3,1,1,1,,female,18,2,3,2,4,2,2,2,3,3,3,3,2,1,2,3,1,1,1,1,1,1,3,2,3,2,2,3,1,2,3,3,1,3,1,3,3,3,6,6,7,7,7,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,27,14,24,14,7,14,10,17,3,6,5,a,,,,
1,1,2,3,5,3,4,,1,3,3,1,1,2,3,female,20,2,3,3,3,2,1,2,1,2,3,2,3,3,3,3,2,3,3,2,1,2,3,2,3,3,2,3,2,2,2,2,4,1,1,2,1,1,5,3,3,3,5,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,22,25,24,10,21,8,6,16,3,4,1,a,,,,
1,1,2,1,7,6,6,,1,3,2,2,1,2,,female,19,2,2,2,3,3,2,2,3,2,2,2,3,3,2,3,2,3,3,1,1,1,3,2,3,3,3,3,3,3,3,3,1,1,3,1,2,2,2,2,2,2,3,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,23,22,29,10,29,14,10,13,5,3,6,a,,,,
1,1,2,1,6,3,5,,1,4,2,2,1,2,,female,18,2,2,2,3,2,2,3,2,2,3,3,3,3,2,3,2,3,2,2,1,1,3,3,2,3,2,3,3,3,3,3,3,3,1,3,3,3,5,4,4,4,3,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,24,22,28,16,20,8,8,16,1,3,4,a,,,,
1,1,2,2,6,3,6,,1,3,3,1,1,2,2,female,20,2,2,2,2,1,2,2,1,2,1,2,3,3,2,3,2,4,3,2,2,2,3,3,3,3,3,4,3,3,3,3,3,2,4,1,3,2,5,5,3,5,5,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,17,26,31,15,17,9,6,11,2,3,4,a,,,,
1,1,2,1,6,2,6,,1,3,3,2,1,3,,female,19,2,2,2,3,1,3,0,2,1,3,0,3,3,3,3,3,3,3,2,1,3,3,2,4,3,2,4,3,3,3,3,1,2,4,1,2,3,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,17,27,30,13,30,5,7,10,1,0,4,a,,,,
1,1,2,1,6,3,5,,1,3,3,2,1,2,,female,18,2,2,4,4,2,2,3,1,2,3,4,3,4,1,3,2,3,3,0,1,1,4,3,3,3,3,4,3,3,3,3,1,4,3,2,2,1,6,5,5,4,4,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,27,21,32,13,16,15,7,20,4,5,6,a,,,,
1,1,2,1,7,6,6,,2,4,1,2,1,2,,female,18,2,2,2,3,1,2,2,1,2,3,3,4,3,2,3,1,2,2,1,1,2,3,3,3,3,3,3,3,3,3,3,2,3,2,1,2,3,3,5,3,3,3,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,21,21,30,13,23,11,6,15,3,6,2,a,,,,
1,1,3,3,6,5,4,,2,3,3,2,3,3,2,male,20,2,3,2,3,2,2,2,1,1,1,3,3,3,1,3,2,2,3,2,2,1,3,3,3,2,2,3,2,3,2,3,2,2,2,2,2,2,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,20,22,26,12,20,7,6,14,1,0,6,a,,,,
